Membership No  Date Joined  Active  
    72858      2020-5-12    no    
    73266      2015-3-25    yes   
    69137      2016-8-9     yes   
    92021      2018-6-18    no    
    10612      2016-12-13   no    
    36193      2019-11-19   no    
    48611      2019-7-17    no    
    84955      2020-4-11    no    
    75579      2020-10-9    yes   
    13132      2017-5-15    no    
    51071      2017-10-5    yes   
    88083      2017-4-11    yes   
    42599      2016-9-2     yes   
    50435      2015-7-12    yes   
    12287      2016-7-1     yes   
    20345      2018-2-8     no    
    93109      2019-7-25    no    
    61917      2016-2-11    no    
    65924      2020-9-18    yes   
    90259      2018-10-8    no    
