Membership No  Date Joined  Active  
    35359      2018-3-22    yes   
    93449      2018-2-8     yes   
    73078      2017-12-8    yes   
    17890      2020-5-23    yes   
    95324      2020-12-1    yes   
    15939      2020-9-24    yes   
    85185      2016-11-9    yes   
    28987      2017-3-2     yes   
    15346      2016-9-4     yes   
    34443      2015-11-12   yes   
    11776      2020-1-12    yes   
    66534      2017-8-12    yes   
    37176      2016-3-9     yes   
    89910      2020-2-7     yes   
